"tconst","primaryTitle","startYear","runtimeMinutes","genres","directors","writers","averageRating","numVotes"
"tt12098670","Scare Me",2020,"107","Comedy,Fantasy,Horror","nm1096903, nm4643307","nm5071354, nm4643307",3.2,262
"tt12099938","Money Fight",2021,"111","Action,Comedy,Drama","nm2554839","nm2554839",4.3,437
"tt12099962","Vampire Burt's Serenade",2020,"76","Comedy,Horror,Musical","nm1210671","nm1210671",5.5,121
"tt12100044","In the Footsteps of Elephant",2020,"85","Adventure,Documentary,Family","nm1761192, nm5145828","nm1761192, nm1470516",7.2,204
"tt12100080","Diving with Dolphins",2020,"79","Documentary","nm0774582","nm1470516, nm0774582",7,185
"tt12100536","Goodbye Shirazi Girl",2020,"87","Comedy,Drama,Romance","nm4159008","nm4159008",6.6,84
"tt12105554","The Speech",2020,"87","Comedy","nm1016687","nm11481632, nm1016687",6.4,1482
"tt12105596","Yes ka No ka Hanbun ka",2020,"53","Animation,Comedy,Drama","nm4132661","nm4132661",6.9,416
"tt12106188","My Year of Living Mindfully",2020,"98","Documentary","nm4350341, nm2026017","nm2026017, nm4350341",7.2,69
"tt12108272","Close Encounters of the Fifth Kind",2020,"120","Documentary","nm2545770","nm2545770",6,1844
"tt12108622","Infinitum: Subject Unknown",2021,"86","Mystery,Sci-Fi","nm2235400","nm3618146, nm2235400",5,8133
"tt12109842","Trump Card",2020,"103","Documentary","nm1625338, nm6583447","nm1625338",5.2,2298
"tt12117528","Kanni Maadam",2020,"132","Drama,Romance","nm3163756","nm3163756",7.1,161
"tt1211837","Doctor Strange",2016,"115","Action,Adventure,Fantasy","nm0220600","nm3123612, nm0220600, nm1803036, nm0498278, nm0228492",7.5,727042
"tt12121582","When You Finish Saving the World",2022,"88","Comedy,Drama","nm0251986","nm0251986",6.6,308
"tt12122258","COVID-19",2020,"72","Drama","nm5740164","nm5740164, nm4448858",2.6,54
"tt1212428","The Lost City of Z",2016,"141","Adventure,Biography,Drama","nm0336695","nm0336695, nm2970418",6.6,90805
"tt12126628","Jack Be Nimble",2022,"80","Comedy","nm5982013","nm3048734, nm5982013",7.3,421
"tt12132832","London Nahi Jaunga",2022,"155","Drama,Romance","nm7397878","nm2258056",5.5,640
"tt12133722","Have a Good Trip",2020,"85","Comedy,Documentary","nm0142620","nm0142620",6.8,7785
"tt12134868","Damascena: The Transition",2019,"115","Biography,Drama","nm7254446, nm0810644","nm9045864, nm0636555, nm0810644, nm9593803",6.8,72
"tt1213641","First Man",2018,"141","Biography,Drama,History","nm3227090","nm1802857, nm2973253",7.3,186812
"tt12137660","White Demise",2020,"70","Drama,Fantasy","nm10501856","nm10501856, nm10577735",4.2,58
"tt12137964","Anything for Jackson",2020,"97","Horror","nm3452373","nm1669597",6.3,8094
"tt12138298","Blight",2022,"75","Drama,Horror,Mystery","nm9840791","nm9840791",4.5,116
"tt12138550","Alieu the Dreamer",2020,"88","Drama,Fantasy","nm5547780","nm5547780",5.8,59
"tt12138574","Quaid-e-Azam Zindabad",2022,"140","Action,Comedy,Drama","nm6567539","nm6567545, nm6567539",7.1,844
"tt12139560","Vidhi",2021,"130","Drama","nm7509231","nm7509232, nm10681570",7.5,632
"tt12139700","Jungle Beat: The Movie",2020,"88","Adventure,Animation,Comedy","nm1814874","nm1814874, nm2412583",5.4,1044
"tt12140804","Ghosts",2020,"90","Drama","nm5792945","nm5792945",6,946
"tt12141112","Metal Lords",2022,"97","Comedy,Music","nm0813164","nm1888967",6.7,25377
"tt12142012","5G Zombies",2020,"96","Horror","nm4341114, nm1667332","nm7756027, nm6816996",1.4,599
"tt12142854","My Name Is Francesco Totti",2020,"101","Biography,Documentary","nm0408644","nm0408644, nm0780214",7.1,1167
"tt12142914","Hollywood Bulldogs: The Rise and Falls of the Great British Stuntman",2021,"105","Documentary","nm1529886","nm1529886",7.7,97
"tt12145322","Dead",2020,"90","Comedy","nm3289442","nm2769614, nm3289442",5.3,406
"tt12146654","Beneath the Surface",2022,"93","Mystery,Thriller","nm8448178, nm9107519","nm10269767",2.7,116
"tt12146688","Blood in the Water",2022,"78","Horror,Mystery","nm13568776","nm10271438, nm3814451",2.5,148
"tt12147360","Fire on the Plain",2021,"113","Drama","nm3511939","nm11499234, nm11499235, nm11499233, nm3511939",7.4,82
"tt12147800","Kuttavum Shikshayum",2022,"138","Action,Crime,Drama","nm1056059","nm12028804, nm9115333",6.3,790
"tt12151820","The Yinyang Master",2021,"113","Action,Adventure,Drama","nm4455334","nm2310115, nm11500904, nm1336257",6.4,2710
"tt12152790","Silent Rain",2019,"99","Drama","nm5370875","nm8650041, nm5370875, nm2428690",6.1,92
"tt12154638","Just Say Yes",2021,"97","Comedy,Romance","nm0211110, nm6337800","nm6337800, nm4973976, nm7198459, nm6722376, nm12460261, nm5666410",4.5,1978
"tt12155064","Why Not You",2020,"107","Drama","nm0739210","nm0739210",5.5,229
"tt12158538","Cry Havoc",2020,"85","Action,Crime,Horror","nm3163561","nm3163561",3.3,289
"tt12159334","Birds (or How to Be One)",2020,"80","Documentary","nm1702672","nm1702672",5.9,218
"tt12159766","Trigger Points",2020,"95","Drama,Sci-Fi","nm10109841","nm10109841",3.3,1798
"tt12163074","The Resort",2021,"76","Horror","nm2442244","nm2442244",3.1,2816
"tt12163662","Mind Games",2021,"99","Action,Horror,Thriller","nm5221732","nm2151069, nm2801781",3.1,745
"tt12165566","Secrets in the Water",2020,"77","Thriller","nm0006395","nm1797032",4.8,160
"tt12166434","The Inglorious Serfs",2020,"90","Action,Adventure,Comedy","nm9539414","nm9539414",7.1,403
"tt12167458","Youth",2018,"86","Drama","nm9036250","nm9036250, nm6668679, nm1104110",6.4,65
"tt12169664","Zero Nine",2021,"93","Action,Crime,Thriller","nm4109739","nm8218350, nm4109739, nm11827188",8,1011
"tt12172388","Beneath: A Cave Horror",2018,"83","Horror","nm11510177","nm11510177",3.6,56
"tt12172640","Faraway Land",2020,"94","Drama,History","nm11510264","nm11510264",5.4,77
"tt12174436","Let's Not Meet in the Woods",2020,"98","Thriller","nm3806890","nm3806890",4,89
"tt12176546","Cannibal Troll",2021,"84","Horror","nm9107519, nm8448178","nm8448178",2.4,248
"tt12176920","Hum",2020,"85","Thriller","nm4590358","nm5820360, nm4590358",5.5,75
"tt12181184","Summer Rebels",2020,"93","Family","nm3958545","nm3958545, nm4109126",6.1,76
"tt12181374","Envoy: Shark Cull",2021,"90","Documentary","nm11514355","nm11514355, nm5869563, nm6572343",7.8,258
"tt12182184","Toxic",2020,"80","Drama,Sci-Fi","nm1445551","nm11514794, nm1445551, nm0639195, nm4407602, nm1891721",5.4,121
"tt12182416","Bert's Diary",2020,"89","Comedy,Family,Romance","nm0511849","nm0503166",5.7,331
"tt12183886","Binisutoy: Without Strings",2020,"94","Drama","nm2267717","nm2267717",7,293
"tt12184602","Who We Were",2021,"115","Documentary","nm1519249","nm1519249",6.6,88
"tt12186098","Hypochondriac",2022,"97","Drama,Horror,Thriller","nm5349451","nm5349451",4.8,447
"tt12192190","One Night in Bangkok",2020,"105","Action,Crime,Drama","nm1126346","nm1126346",5.1,2115
"tt12192636","Doll Face",2021,"74","Drama,Horror,Mystery","nm0667001","nm0667001",2.1,150
"tt12192654","Planet of the Humans",2019,"100","Documentary","nm1345020","nm1345020",6.9,3104
"tt1219827","Ghost in the Shell",2017,"107","Action,Crime,Drama","nm2782185","nm0794385, nm1150145, nm0923980, nm0472567",6.3,213702
"tt12198504","Monstrous",2020,"86","Drama,Fantasy,Horror","nm6417610","nm4828989",3.8,738
"tt12198524","The Retreat",2020,"88","Horror,Mystery","nm6417610","nm6417610",4.3,869
"tt12200256","No Escapes",2020,"131","Action,Drama","nm3550991","nm2965766, nm6055166, nm3550991",6.5,1293
"tt12205344","Astaroth",2020,"76","Horror","nm5933797","nm5933799",4.6,55
"tt12210768","Mermaid Isle",2020,"80","Horror,Thriller","nm3510519","nm3510519",3,56
"tt12211524","50 or Two Whales Meet on the Beach",2020,"122","Drama","nm11528021","nm11528021",7.4,67
"tt12214628","DAU. Nora Mother",2020,"87","Biography,Drama,History","nm0451969, nm0644293","nm0451969, nm0644293",5.9,239
"tt12215286","Dino Dana: The Movie",2020,"85","Adventure,Family,Fantasy","nm1664945","nm1664945, nm2576718",5.1,132
"tt12215472","The SpongeBob SquarePants Movie Rehydrated",2022,"87","Adventure,Animation,Comedy","nm12466403, nm11530167, nm11529594, nm11542041","nm0384864, nm0238757, nm0384722, nm0651692, nm0819711, nm1196684",8.3,97
"tt12216202","Life After You",2022,"90","Drama","nm9382100","nm0523568, nm9382100",7,79
"tt12216986","The Last Frontier",2020,"136","Action,Drama,War","nm1475358","nm1475358, nm0880108",6.5,1446
"tt12217814","Love like the Falling Rain",2020,"86","Adventure,Drama,Fantasy","nm2682365","nm1345541, nm11385815, nm7572467",4.7,207
"tt12217840","The Enchanting Phantom",2020,"96","Adventure,Drama,Fantasy","nm10021724","nm11531215, nm0950699, nm11531216",5.6,156
"tt12221824","After Masks",2021,"145","Drama","nm9216015, nm2502117, nm1219833, nm0567115, nm6342252, nm3802165","nm6342252, nm9216015, nm3802165, nm0567115, nm1443817, nm7930206, nm2502117",6.2,1354
"tt12222074","Fight of Fury",2020,"81","Action,Drama,Thriller","nm1204784","nm1204784",4.8,85
"tt12223548","The Bezonians",2021,"98","Crime,Drama,Thriller","nm7101998","nm7101998",5.6,4398
"tt12223620","The Slaughterhouse Killer",2020,"78","Horror","nm3450811","nm3450811, nm3425987",5.8,354
"tt12226808","Top Gunner",2020,"84","Action,War","nm2662079","nm0576015",1.9,482
"tt12226872","The Scary of Sixty-First",2021,"81","Comedy,Horror,Mystery","nm6221606","nm6221606, nm6764011",4.6,2004
"tt12229370","Mothering Sunday",2021,"104","Drama,Romance","nm0404067","nm2690539, nm0808350",6,2209
"tt12233874","Oro Arrowhead",2021,"112","Mystery","nm3546707","nm10270891, nm3546707",3.9,89
"tt12235234","Fairy",2020,"152","Drama,Sci-Fi,Thriller","nm1346885","nm1346885",5.7,546
"tt12244694","Found.",2020,"112","Drama,Family","nm10872185","nm10872185, nm10872187",6,179
"tt12244776","A Drunk Scorpion Will Sting Itself to Death",2020,"76","Crime,Drama","nm9891272","nm9891272",5.2,56
"tt12244822","Amira",2021,"98","Drama","nm2559996","nm2559996",2.8,7738
"tt12246266","200 Meters",2020,"96","Adventure,Drama","nm4553278","nm4553278",7.1,1331
"tt12250634","Borrelia Borealis",2021,"93","Drama","nm3554142","nm3554142",5.3,59
"tt12250908","Bloomfield",2020,"111","Horror","nm6742267","nm6742267",3.9,104
"tt12250946","My Sweet Grappa Remedies",2019,"107","Drama,Romance","nm2596256","nm11545600, nm11546869",6.4,193
